13.806	10.623	9	6.525	4.626	2.742	1.117	-0.367	-1.085	-2.276	-3.328	-4.712
9.73	8.418	7.675	6.128	4.644	3.038	1.62	-0.066	-0.711	-1.868	-2.925	-4.339
6.159	5.512	5.178	4.334	3.408	2.33	1.357	0.107	-0.52	-1.603	-2.619	-4.014
6.017	4.577	4.061	3.167	2.39	1.605	0.916	0.093	-0.463	-1.467	-2.432	-3.773
7.742	5.666	4.866	3.587	2.617	1.696	0.938	0.082	-0.465	-1.408	-2.322	-3.603
11.9	8.592	7.175	5.114	3.641	2.32	1.281	0.16	-0.437	-1.352	-2.234	-3.469
11.828	9.419	8.196	6.226	4.651	3.1	1.817	0.35	-0.383	-1.281	-2.149	-3.354
9.528	7.598	6.896	5.549	4.319	3.011	1.881	0.53	-0.299	-1.185	-2.036	-3.228
11.803	8.85	7.594	5.709	4.287	2.95	1.858	0.623	-0.241	-1.103	-1.94	-3.111
7.727	7.243	6.807	5.702	4.555	3.289	2.171	0.855	-0.173	-1.024	-1.845	-2.994
9.375	6.763	5.878	4.532	3.489	2.506	1.669	0.706	-0.123	-0.954	-1.764	-2.891
4.784	4.726	4.7	4.217	3.499	2.623	1.801	0.808	-0.086	-0.905	-1.69	-2.8
3.107	2.684	2.6	2.339	1.968	1.519	1.059	0.478	-0.086	-0.86	-1.631	-2.715
3.877	2.939	2.546	1.972	1.516	1.099	0.714	0.299	-0.125	-0.854	-1.589	-2.642
3.837	3.007	2.734	2.227	1.723	1.226	0.791	0.307	-0.159	-0.858	-1.587	-2.598
9.591	6.404	5.154	3.487	2.438	1.603	0.973	0.368	-0.155	-0.857	-1.555	-2.554
10.427	7.979	6.971	5.314	4.025	2.809	1.817	0.764	-0.108	-0.829	-1.529	-2.508
9.75	8.093	7.222	5.72	4.455	3.205	2.157	0.981	-0.047	-0.796	-1.492	-2.46
8.485	7.444	6.748	5.482	4.355	3.214	2.212	1.087	0.037	-0.75	-1.434	-2.399
6.625	5.538	5.091	4.268	3.472	2.645	1.876	0.978	0.115	-0.699	-1.378	-2.345
6.098	5.141	4.748	3.961	3.194	2.402	1.691	0.899	0.134	-0.657	-1.326	-2.272
2.489	2.717	2.841	2.745	2.392	1.904	1.387	0.762	0.131	-0.623	-1.292	-2.228
2.881	2.089	1.81	1.5	1.233	0.977	0.69	0.371	0.027	-0.622	-1.265	-2.181
3.002	2.644	2.477	2.059	1.607	1.176	0.788	0.393	0.004	-0.619	-1.262	-2.149
2.707	1.999	1.788	1.457	1.158	0.873	0.589	0.293	-0.02	-0.622	-1.232	-2.13
4.079	2.911	2.551	1.954	1.462	1.03	0.662	0.312	-0.036	-0.619	-1.223	-2.096
6.359	4.028	3.439	2.577	1.935	1.356	0.872	0.412	-0.028	-0.619	-1.225	-2.082
6.583	4.92	4.336	3.421	2.647	1.909	1.257	0.622	0.016	-0.624	-1.225	-2.053
7.757	5.496	4.74	3.669	2.845	2.072	1.393	0.713	0.056	-0.609	-1.187	-2.027
