"Date Time, GMT-09:00",5 cm ST (°C),10 cm ST (°C),20 cm ST (°C),30 cm ST (°C),50 cm ST (°C),100 cm ST (°C),125 cm ST (°C)
2022-06-27,11.104395833333333,9.2628125,2.9253750000000003,-0.23691666666666666,0.2672083333333333,-0.53325,-0.7010833333333334
2022-06-28,10.455520833333333,8.588895833333334,2.792666666666667,-0.23108333333333334,0.31883333333333336,-0.5256666666666666,-0.6934999999999999
2022-06-29,12.178333333333333,9.703708333333333,2.9364375000000003,-0.22,0.3615,-0.5110833333333333,-0.6725
2022-06-30,13.913541666666667,12.087458333333332,4.036604166666667,-0.21825000000000003,0.5489375,-0.5064166666666666,-0.6754166666666667
2022-07-01,12.119625,10.981875,4.4859374999999995,-0.22641666666666668,0.77025,-0.507,-0.676
2022-07-02,12.568875,10.647208333333333,4.2505625,-0.21008333333333332,0.8263124999999999,-0.507,-0.6754166666666667
2022-07-03,11.636458333333332,9.897291666666666,4.186541666666667,-0.2054166666666667,0.9235625000000001,-0.5040833333333333,-0.6684166666666668
2022-07-04,9.534958333333334,8.341895833333334,3.7436875,-0.2054166666666667,0.887625,-0.5064166666666666,-0.6299166666666667
2022-07-05,10.394562500000001,8.8013125,3.7206041666666665,-0.19899999999999998,0.8979791666666667,-0.5023333333333334,-0.61275
2022-07-06,10.3996875,9.081833333333334,3.9951666666666665,0.144125,0.823375,1.2197291666666668,-0.5464375
2022-07-07,11.142125,9.421208333333334,4.019979166666666,1.3440416666666666,0.7400208333333333,-0.39558333333333334,-0.5904791666666667
2022-07-08,12.049124999999998,10.0328125,4.327770833333333,0.1245,0.8830625,-0.42124999999999996,-0.5928541666666666
2022-07-09,13.987895833333333,11.749125,5.1234375000000005,0.12391666666666667,1.3070208333333333,-0.4165833333333333,-0.6145625
2022-07-10,14.315541666666666,12.133229166666666,5.774,0.10233333333333333,1.8409166666666668,-0.41775,-0.6109375
2022-07-11,14.056708333333333,11.965562499999999,5.927062500000001,0.09825,2.0575,-0.4183333333333333,-0.5929583333333334
2022-07-12,14.408895833333332,12.036270833333333,5.883479166666667,0.11983333333333333,2.128604166666667,-0.4183333333333333,-0.5845833333333333
2022-07-13,12.515395833333335,10.729104166666666,5.799479166666667,0.13033333333333333,2.3004375,-0.4200833333333333,-0.5612499999999999
2022-07-14,10.9816875,9.673020833333334,5.1615,0.14725000000000002,2.1536874999999998,-0.423,-0.5373333333333333
2022-07-15,12.739541666666668,10.693333333333333,5.133541666666667,0.21175,1.7711875,-0.41425,-0.51925
2022-07-16,11.189708333333334,9.6365625,5.019833333333334,0.23650000000000002,1.8494374999999998,-0.4136666666666667,-0.5058333333333334
2022-07-17,9.986666666666666,8.788104166666667,4.786104166666667,0.26635416666666667,1.9004583333333331,-0.40958333333333335,-0.47783333333333333
2022-07-18,7.975020833333333,7.152791666666666,4.0353125,0.31583333333333335,1.7524583333333332,-0.39558333333333334,-0.44575000000000004
2022-07-19,8.742770833333333,7.493791666666667,3.955458333333333,0.3443125,1.7898125,-0.39558333333333334,-0.423
2022-07-20,8.486625,7.9536875,4.270041666666667,0.350625,1.7650208333333335,-0.395,-0.39033333333333337
2022-07-21,7.049666666666667,6.333166666666667,3.756979166666667,0.4236041666666666,1.69825,-0.395,-0.367
2022-07-22,7.500875,6.586833333333334,3.5286666666666666,0.4492291666666666,1.5351249999999999,-0.38975000000000004,-0.34075000000000005
2022-07-23,9.220520833333333,7.757770833333333,3.800708333333333,0.8232291666666667,1.542,-0.36175,-0.31683333333333336
2022-07-24,6.715083333333333,5.978770833333333,3.4651666666666667,0.5090208333333334,1.5827083333333334,-0.3635,-0.3080833333333333
2022-07-25,9.424125,8.507125,4.260395833333333,0.6081458333333333,1.7851666666666668,-0.3454166666666667,-0.2806666666666667
2022-07-26,9.466708333333333,8.197458333333334,4.2739375,1.4535,1.8921875000000001,-0.3378333333333334,-0.2544166666666667
2022-07-27,9.203729166666667,7.620729166666667,4.1595,2.638708333333333,1.9005833333333333,-0.3150833333333333,-0.23575000000000002
2022-07-28,11.695583333333333,9.5196875,4.759354166666667,3.4901666666666666,2.015625,-0.2935,-0.227
2022-07-29,13.662916666666668,11.165625,5.585604166666666,3.6572708333333335,2.5481875,-0.28591666666666665,-0.21708333333333332
2022-07-30,13.613083333333334,11.202416666666666,5.9548125,2.2309791666666667,2.9546875,-0.26666666666666666,-0.19899999999999998
2022-07-31,12.474729166666668,10.8825625,6.084645833333333,2.1949791666666667,3.1183541666666668,-0.25616666666666665,-0.1815
2022-08-01,12.341645833333333,10.369104166666666,5.820666666666667,2.8846458333333334,2.8123333333333336,-0.234,-0.16516666666666668
2022-08-02,11.280479166666666,9.7939375,5.807916666666667,2.5833125,2.8628750000000003,-0.22291666666666668,-0.14416666666666667
2022-08-03,12.641854166666667,10.8203125,5.954770833333334,5.019104166666667,2.909125,-0.19375,-0.1205
2022-08-04,9.916125,9.453666666666667,5.8929374999999995,4.184895833333333,3.2245833333333334,-0.17566666666666667,-0.11308333333333333
2022-08-05,9.5483125,8.700604166666666,5.389479166666667,8.258916666666666,2.8295208333333335,-0.16575,-0.08975
2022-08-06,10.422062500000001,8.699583333333333,5.201479166666666,9.53275,2.6598333333333333,-0.1278125,-0.07166666666666667
2022-08-07,10.12175,9.251979166666667,5.418645833333333,10.523708333333333,2.7574166666666664,-0.116,-0.06
2022-08-08,8.122125,6.855645833333334,4.649583333333333,9.499104166666667,2.682479166666667,-0.09149999999999998,-0.048916666666666664
